anio,trimestre,tv_suscripcion_100_habitantes,tv_satelital_100_habitantes,tv_suscripcion_100_hogares,tv_satelital_100_hogares
2014,1,12.74,5.57,42.72,18.48
2014,2,15.09,5.97,50.61,19.81
2014,3,15.12,5.74,50.7,19.06
2014,4,15.18,5.78,50.92,19.18
2015,1,14.86,5.79,49.86,19.41
2015,2,14.98,5.99,50.25,20.09
2015,3,15.05,5.99,50.48,20.11
2015,4,15.08,5.88,50.61,19.74
2016,1,14.92,5.83,50.08,19.55
2016,2,14.99,6.06,50.3,20.34
2016,3,15,6.03,50.34,20.24
2016,4,15.03,6.11,50.45,20.49
2017,1,14.99,5.75,49.01,18.77
2017,2,15.38,5.85,50,19.04
2017,3,15.36,5.89,49.84,19.1
2017,4,15.43,5.79,50.12,18.81
2018,1,15.63,5.56,50.73,18.05
2018,2,15.59,5.63,50.56,18.26
2018,3,15.8,5.69,51.21,18.44
2018,4,15.47,5.54,50.1,17.94
2019,1,15.58,5.52,50.42,17.87
2019,2,15.7,5.48,50.76,17.72
2019,3,15.9,5.47,51.37,17.67
2019,4,16.17,5.45,52.21,17.6
2020,1,15.97,5.43,51.51,17.52
2020,2,15.93,5.41,51.36,17.45
2020,3,16.13,5.4,51.95,17.38
2020,4,16.1,5.09,51.8,16.39
2021,1,16.09,4.95,51.74,15.93
2021,2,16.02,5.08,51.48,16.33
2021,3,16.73,4.68,53.72,15.03
2021,4,16.52,4.37,52.99,14.02
2022,1,16.41,4.45,52.61,14.25
2022,2,16.55,4.47,48,12.96
2022,3,16.68,4.49,48.03,12.94
2022,4,16.69,3.99,48.04,11.5
2023,1,16.79,3.82,48.52,11.03
2023,2,17.45,3.75,50.34,10.82
2023,3,16.75,3.64,48.25,10.49
2023,4,16.54,3.26,47.65,9.4
2024,1,16.4,3.12,47.32,9
2024,2,16.07,2.95,46.39,8.51
2024,3,16.3,2.53,46.97,7.28
2024,4,16.46,2.31,47.43,6.65
2025,1,16.37,2.31,47.15,6.64
2025,2,15.46,2.19,44.55,6.31
2025,3,16.31,2.01,47.01,5.79
2025,4,16.33,2.01,47.05,5.78
